Last Name,First Name,Date of Birth,Gender,Address LGA,State of Origin,Geopolitical Zone,School Type,Schools LGA,Secondary School Living Arrangement,Digital methods in school,Weekly Hours Spent Reading,Mentor,Parents Occupation,Financial status,Future Ambition,Digital literacy,Extra Extracurricular Activities,Do you have a library in your school?,Library visit,Academic Stream,Attendance Rate,Study Habits,Behavioral Condition in School,Learning Environment,Private Tutors,Access to online Learning Platform,Supportive Home Environment,Parental Engagement in School Life,Qualified Teachers,Anxiety Before Exam,Do you understand English,Access to Practice Exams,Past Jamb Score,Credit pass in core five subjects
Ladan,Nnedinma,2005-05-13,Male,Shomolu,Benue,South East,Public,Apapa,Boarding,Yes,32 hours,Yes,Engineer,High Income,Scientist,Medium,Music,No,Rarely,Arts,3,Occasional,Average,Good,No,No,Yes,Strongly Disagree,Yes,Low,No,Yes,313,Yes
Oluwole,Mhungur,2007-12-31,Female,Mushin,Kebbi,South West,Public,Ifako-Ijaye,Boarding,Yes,10 hours,Yes,Civil Servant,High Income,Teacher,Low,None,No,Often,Science,2,Rarely,Good,Good,No,No,Yes,Strongly Agree,Yes,Low,Yes,Yes,318,No
Mohammed,Samuel,2009-01-10,Male,Oshodi-Isolo,Bauchi,North West,Private,Kosofe,Day,Yes,5 hours,Yes,Engineer,Middle Income,Businessperson,High,Music,Yes,Often,Science,7,Daily,Good,Good,Yes,No,No,Strongly Agree,No,Medium,Yes,Yes,266,No
Kelechi,Charity,2006-09-03,Male,Apapa,Ondo,North West,Public,Oshodi-Isolo,Boarding,Yes,32 hours,Yes,Business,Middle Income,Businessperson,Low,None,No,Sometimes,Commerce,9,Rarely,Good,Good,No,Yes,No,Strongly Agree,No,Medium,Yes,No,114,No
Lawal,John-pius,2010-09-04,Male,Lagos Mainland,Yobe,South East,Private,Badagry,Day,Yes,3 hours,Yes,Engineer,High Income,Teacher,Medium,Drama,Yes,Often,Science,9,Rarely,Average,Poor,No,Yes,No,Strongly Agree,Yes,Low,No,No,184,No
Amus,John-pius,2007-12-20,Male,Shomolu,Katsina,North East,Private,Ikeja,Day,Yes,5 hours,No,Medical Professional,High Income,Lawyer,Medium,None,Yes,Rarely,Science,1,Rarely,Major Issues,Poor,No,No,No,Agree,Yes,Medium,Yes,No,106,No
Nnamani,Saidu,2006-02-23,Male,Ifako-Ijaye,Niger,South West,Private,Epe,Boarding,No,3 hours,No,Civil Servant,Low Income,Engineer,High,None,No,Often,Science,1,Rarely,Average,Average,Yes,No,No,Strongly Disagree,No,Low,No,Yes,259,Yes
Onyeka,Oluwaseun,2009-12-11,Male,Agege,Niger,South South,Public,Ojo,Day,No,1 hour,Yes,Medical Professional,Low Income,Developer,High,None,Yes,Rarely,Science,6,Rarely,Excellent,Poor,Yes,Yes,Yes,Neutral,No,High,No,No,336,No
Ehanmo,Mercy,2008-02-11,Female,Alimosho,Kogi,North East,Public,Lagos Island,Day,Yes,1 hour,Yes,Engineer,Low Income,Businessperson,Medium,None,Yes,Often,Commerce,4,Rarely,Good,Poor,Yes,No,Yes,Disagree,Yes,Low,Yes,Yes,144,No
Oyedepo,Umar,2011-07-01,Female,Surulere,Lagos,South South,Public,Ajeromi-Ifelodun,Boarding,No,1 hour,Yes,Farmer,High Income,Teacher,High,Sports,No,Often,Arts,8,Occasional,Major Issues,Good,No,Yes,Yes,Strongly Agree,Yes,Medium,No,No,199,Yes
Ekpe,Fatima,2011-05-27,Female,Ajeromi-Ifelodun,Kogi,South West,Public,Amuwo-Odofin,Day,Yes,10 hours,No,Teacher,Middle Income,Artist,High,Drama,No,Often,Science,9,Daily,Minor Issues,Good,Yes,No,Yes,Disagree,Yes,Medium,Yes,Yes,113,Yes
Baba,Mercy,2005-12-22,Female,Ojo,Akwa Ibom,South East,Public,Ikeja,Day,No,1 hour,No,Business,Middle Income,Teacher,High,Clubs,Yes,Often,Commerce,10,Daily,Major Issues,Average,No,Yes,No,Agree,Yes,Medium,No,Yes,101,No
Musa,Charity,2011-07-09,Male,Kosofe,Jigawa,North East,Private,Shomolu,Day,No,32 hours,Yes,Farmer,Middle Income,Businessperson,Low,Drama,Yes,Often,Arts,4,Daily,Average,Average,Yes,Yes,No,Agree,Yes,High,Yes,Yes,112,Yes
Taiwo,Amiel,2009-08-21,Female,Ojo,Kwara,South West,Public,Kosofe,Boarding,Yes,3 hours,No,Medical Professional,Middle Income,Developer,Medium,None,Yes,Rarely,Arts,2,Daily,Major Issues,Good,Yes,No,Yes,Neutral,Yes,Medium,No,Yes,270,Yes
Omora,Damilola,2005-01-06,Female,Amuwo-Odofin,Osun,South South,Private,Ibeju-Lekki,Boarding,No,1 hour,Yes,Medical Professional,Low Income,Teacher,High,None,No,Rarely,Science,9,Daily,Good,Good,Yes,No,Yes,Disagree,No,High,No,No,120,Yes
Ehanmo,Temitayo,2006-01-27,Female,Surulere,Katsina,South West,Public,Lagos Island,Day,Yes,32 hours,Yes,Engineer,High Income,Businessperson,Low,Music,Yes,Sometimes,Arts,7,Rarely,Minor Issues,Good,Yes,Yes,Yes,Neutral,Yes,Low,No,Yes,300,Yes
Afolayan,Omotola,2008-03-18,Male,Lagos Mainland,Ondo,North West,Private,Eti-Osa,Boarding,Yes,32 hours,No,Business,Low Income,Scientist,High,None,No,Sometimes,Arts,10,Occasional,Excellent,Good,No,No,No,Disagree,No,Low,Yes,No,303,Yes
Abdulqadir,Nnamdi,2008-04-23,Male,Ikorodu,Ondo,North West,Public,Mushin,Day,Yes,1 hour,Yes,Medical Professional,High Income,Lawyer,High,Drama,No,Sometimes,Commerce,3,Daily,Minor Issues,Good,No,Yes,No,Strongly Agree,Yes,High,Yes,Yes,309,No
Osanyintipin,Nnamdi,2010-08-02,Female,Surulere,Rivers,South West,Public,Apapa,Day,No,32 hours,Yes,Business,Middle Income,Developer,Medium,Clubs,Yes,Rarely,Commerce,9,Daily,Major Issues,Good,Yes,No,No,Strongly Disagree,No,Medium,Yes,No,128,Yes
Ekpe,Naomi,2010-07-30,Male,Ifako-Ijaye,Borno,South South,Public,Ojo,Day,No,10 hours,No,Farmer,Low Income,Teacher,Low,Music,Yes,Often,Commerce,10,Rarely,Good,Good,No,Yes,No,Neutral,No,Low,Yes,Yes,270,Yes
Akinbode,Bimbo,2005-05-07,Male,Amuwo-Odofin,Enugu,North West,Public,Lagos Mainland,Day,Yes,1 hour,Yes,Teacher,High Income,Lawyer,Medium,Music,No,Often,Arts,8,Daily,Good,Poor,Yes,Yes,Yes,Neutral,Yes,High,Yes,Yes,297,No
Uyieidem,Lovina,2007-06-25,Male,Ibeju-Lekki,Akwa Ibom,South West,Private,Kosofe,Boarding,Yes,3 hours,Yes,Business,Middle Income,Scientist,Medium,Clubs,No,Often,Commerce,3,Daily,Good,Poor,Yes,Yes,No,Strongly Disagree,No,Low,No,Yes,291,No
Egbunu,Mustapha,2005-03-23,Female,Oshodi-Isolo,Kaduna,South West,Private,Surulere,Day,No,10 hours,Yes,Teacher,Low Income,Engineer,Low,Drama,Yes,Rarely,Science,9,Occasional,Major Issues,Average,Yes,No,No,Neutral,No,Medium,No,Yes,114,Yes
Ishaya,Olatunde,2005-01-26,Female,Kosofe,Sokoto,South South,Public,Surulere,Day,Yes,5 hours,Yes,Engineer,High Income,Doctor,Low,None,Yes,Rarely,Arts,5,Daily,Minor Issues,Good,Yes,No,No,Strongly Agree,Yes,Medium,No,No,121,Yes
Idris,Emmanuel,2008-07-22,Female,Ajeromi-Ifelodun,Bauchi,North West,Public,Ibeju-Lekki,Boarding,Yes,3 hours,No,Business,Middle Income,Doctor,Medium,Clubs,No,Rarely,Commerce,6,Occasional,Major Issues,Average,Yes,Yes,Yes,Disagree,No,High,No,Yes,309,Yes
Elaigwu,Femi,2008-08-23,Female,Apapa,Edo,South South,Public,Oshodi-Isolo,Day,Yes,3 hours,No,Civil Servant,High Income,Doctor,High,Drama,No,Often,Arts,5,Occasional,Average,Poor,No,Yes,Yes,Strongly Disagree,No,Medium,Yes,Yes,183,No
Patrick,Ibrahim,2007-07-13,Male,Alimosho,Lagos,South South,Public,Agege,Boarding,Yes,3 hours,No,Business,Middle Income,Engineer,Medium,Drama,Yes,Often,Commerce,1,Occasional,Minor Issues,Poor,Yes,Yes,No,Strongly Disagree,Yes,Medium,No,No,208,Yes
Ishaya,Omotomilola,2005-02-02,Male,Eti-Osa,Lagos,South South,Private,Agege,Day,No,5 hours,Yes,Teacher,Middle Income,Engineer,Medium,Drama,No,Often,Science,2,Rarely,Minor Issues,Average,No,Yes,Yes,Agree,No,High,No,Yes,118,Yes
Njoku,Nnamdi,2008-10-22,Male,Agege,Benue,North West,Private,Ikorodu,Day,Yes,3 hours,No,Business,High Income,Engineer,Low,None,No,Sometimes,Arts,9,Occasional,Major Issues,Average,No,Yes,Yes,Agree,Yes,Medium,Yes,No,206,No
Sunday,Abdullahi,2011-06-19,Male,Lagos Island,Akwa Ibom,North West,Public,Epe,Day,No,32 hours,No,Teacher,Middle Income,Scientist,High,None,Yes,Sometimes,Arts,3,Daily,Excellent,Good,Yes,Yes,No,Strongly Agree,Yes,High,Yes,No,118,No
Ayeni,Musa,2010-05-07,Female,Shomolu,Enugu,North East,Private,Oshodi-Isolo,Day,Yes,3 hours,Yes,Teacher,High Income,Doctor,Low,Sports,No,Often,Commerce,3,Occasional,Major Issues,Poor,No,Yes,No,Neutral,No,Low,No,No,316,No
Yusuf,Terhemba,2006-10-06,Female,Ifako-Ijaye,Lagos,South East,Private,Apapa,Day,No,10 hours,Yes,Civil Servant,Low Income,Scientist,Low,Music,No,Often,Science,8,Rarely,Major Issues,Good,Yes,Yes,No,Neutral,No,Medium,No,No,249,Yes
Ezeji,Omotomilola,2004-10-13,Female,Apapa,Abuja,South West,Private,Ajeromi-Ifelodun,Boarding,No,5 hours,No,Engineer,High Income,Scientist,Low,None,No,Often,Arts,3,Rarely,Minor Issues,Poor,No,Yes,No,Agree,Yes,High,Yes,Yes,217,Yes
Andrew,Oliver,2010-07-25,Male,Lagos Island,Kano,South East,Private,Mushin,Day,No,1 hour,No,Farmer,Low Income,Developer,Medium,Sports,No,Often,Science,1,Occasional,Minor Issues,Good,Yes,Yes,Yes,Agree,Yes,Low,Yes,No,149,Yes
Ibrahim,Blessing,2004-10-23,Male,Kosofe,Gombe,South South,Public,Shomolu,Day,Yes,5 hours,No,Farmer,High Income,Teacher,Medium,Drama,Yes,Often,Science,1,Occasional,Excellent,Good,Yes,Yes,Yes,Agree,No,Low,No,Yes,243,Yes
James,Jafar,2007-05-01,Male,Surulere,Lagos,North East,Public,Kosofe,Day,No,1 hour,No,Engineer,Low Income,Developer,Low,Music,Yes,Rarely,Commerce,3,Occasional,Major Issues,Poor,Yes,No,Yes,Strongly Agree,No,Low,No,No,166,Yes
Ene,Silas,2008-03-20,Male,Kosofe,Bauchi,North East,Public,Alimosho,Boarding,Yes,3 hours,No,Teacher,High Income,Artist,Low,Music,Yes,Rarely,Commerce,9,Occasional,Major Issues,Poor,Yes,Yes,Yes,Disagree,No,Low,No,Yes,301,Yes
Sanni,Olatunde,2010-05-25,Female,Apapa,Delta,South West,Public,Surulere,Day,No,1 hour,No,Engineer,Low Income,Doctor,Medium,Clubs,No,Often,Commerce,4,Rarely,Excellent,Poor,No,Yes,No,Disagree,No,Medium,No,Yes,164,Yes
Ogore,Monisola,2006-03-15,Female,Ikorodu,Gombe,South West,Public,Epe,Boarding,Yes,32 hours,No,Medical Professional,High Income,Scientist,High,Sports,No,Sometimes,Science,10,Daily,Excellent,Poor,Yes,No,Yes,Disagree,Yes,Low,No,No,297,No
Igbe,Patience,2011-07-02,Male,Apapa,Taraba,South East,Public,Ojo,Day,Yes,1 hour,Yes,Medical Professional,Low Income,Scientist,High,None,Yes,Often,Commerce,5,Daily,Major Issues,Good,Yes,No,No,Strongly Disagree,No,Medium,No,No,291,No
Aminu,Anzaku,2008-12-04,Male,Lagos Island,Oyo,South East,Private,Epe,Boarding,No,1 hour,Yes,Teacher,High Income,Lawyer,Low,Music,Yes,Rarely,Arts,9,Daily,Excellent,Good,No,Yes,No,Strongly Agree,No,Medium,Yes,No,259,No
Omesili,Bola,2008-01-18,Female,Epe,Oyo,North West,Public,Shomolu,Boarding,No,10 hours,No,Medical Professional,Low Income,Lawyer,Medium,Drama,Yes,Sometimes,Arts,3,Daily,Good,Average,No,Yes,Yes,Neutral,Yes,Low,Yes,No,260,No
Ladan,Peter,2011-03-03,Male,Epe,Borno,South East,Public,Ikeja,Day,No,32 hours,Yes,Farmer,High Income,Scientist,Low,Music,No,Rarely,Arts,4,Daily,Average,Good,No,No,No,Neutral,Yes,High,No,Yes,231,No
Elaigwu,Abba,2009-01-14,Male,Amuwo-Odofin,Rivers,South East,Public,Apapa,Boarding,No,1 hour,No,Civil Servant,Middle Income,Teacher,Medium,Clubs,No,Rarely,Arts,3,Daily,Average,Average,Yes,No,No,Disagree,Yes,High,No,Yes,120,No
Ogunyemi,Isah,2009-06-28,Female,Agege,Ebonyi,South South,Private,Lagos Mainland,Boarding,No,1 hour,Yes,Teacher,High Income,Artist,Low,None,Yes,Rarely,Science,3,Occasional,Major Issues,Good,No,No,No,Neutral,No,Low,No,Yes,135,Yes
Elkanah,Kitoye,2009-10-22,Male,Ojo,Kwara,North East,Private,Kosofe,Day,Yes,3 hours,Yes,Teacher,High Income,Artist,Low,Sports,No,Sometimes,Science,1,Occasional,Average,Good,No,No,No,Disagree,Yes,Medium,No,No,122,No
Abdulaziz,Mary,2010-09-06,Male,Kosofe,Kaduna,South East,Private,Ibeju-Lekki,Boarding,Yes,5 hours,Yes,Teacher,Low Income,Doctor,Medium,Clubs,Yes,Often,Commerce,5,Rarely,Good,Poor,Yes,Yes,Yes,Neutral,Yes,Low,Yes,No,318,No
Okoro,Kelechi,2009-02-25,Male,Epe,Ekiti,North West,Public,Ifako-Ijaye,Day,No,5 hours,Yes,Engineer,Low Income,Teacher,High,Sports,No,Often,Arts,2,Occasional,Average,Good,No,Yes,Yes,Agree,No,Medium,No,Yes,159,No
Udo,Uche,2008-01-24,Female,Ojo,Kaduna,South East,Private,Agege,Day,Yes,3 hours,No,Engineer,High Income,Teacher,High,Drama,No,Rarely,Arts,5,Occasional,Good,Average,No,Yes,Yes,Disagree,No,Medium,No,Yes,100,No
Aduku,Dare,2007-06-19,Male,Kosofe,Niger,South South,Public,Badagry,Day,No,1 hour,No,Farmer,Middle Income,Teacher,Medium,Sports,Yes,Rarely,Arts,5,Occasional,Good,Poor,Yes,No,No,Strongly Agree,No,Medium,No,No,112,No
Abubakar,Esther,2008-03-12,Female,Alimosho,Katsina,South West,Public,Ojo,Day,Yes,1 hour,Yes,Teacher,Middle Income,Businessperson,Low,Drama,Yes,Rarely,Commerce,8,Daily,Average,Poor,Yes,Yes,Yes,Strongly Agree,No,High,No,Yes,272,Yes
Ejugwu,Chidi,2004-12-29,Male,Ifako-Ijaye,Enugu,South South,Private,Ajeromi-Ifelodun,Day,No,10 hours,No,Teacher,Middle Income,Doctor,High,Clubs,No,Often,Arts,5,Daily,Good,Poor,Yes,Yes,Yes,Strongly Disagree,No,Medium,Yes,Yes,289,No
Tsadu,Emmanuel,2009-12-15,Male,Lagos Island,Kaduna,North West,Public,Amuwo-Odofin,Day,No,5 hours,Yes,Teacher,Middle Income,Businessperson,Medium,Drama,No,Often,Arts,4,Rarely,Major Issues,Good,Yes,No,Yes,Neutral,Yes,Low,No,No,242,Yes
Kelechi,Femi,2011-05-13,Female,Mushin,Kwara,South West,Public,Ifako-Ijaye,Boarding,Yes,3 hours,Yes,Medical Professional,High Income,Teacher,High,Clubs,Yes,Sometimes,Commerce,3,Rarely,Major Issues,Good,No,Yes,No,Neutral,No,High,Yes,Yes,231,No
Abdulaziz,Maxwell,2009-08-05,Female,Mushin,Jigawa,North East,Public,Oshodi-Isolo,Boarding,No,10 hours,No,Farmer,Low Income,Lawyer,Low,Clubs,Yes,Rarely,Arts,9,Daily,Average,Good,No,Yes,Yes,Agree,Yes,Medium,Yes,Yes,135,No
Ejugwu,Nneka,2011-05-11,Female,Ojo,Ogun,North West,Private,Mushin,Boarding,Yes,1 hour,Yes,Civil Servant,High Income,Artist,Low,Music,Yes,Often,Arts,2,Rarely,Good,Poor,Yes,No,Yes,Strongly Disagree,No,Medium,Yes,Yes,267,Yes
Egbon,Uche,2005-10-12,Male,Ikorodu,Enugu,North West,Public,Mushin,Boarding,No,10 hours,Yes,Teacher,Middle Income,Developer,Low,None,No,Sometimes,Commerce,2,Daily,Major Issues,Average,Yes,No,No,Strongly Agree,Yes,Medium,No,No,295,Yes
Yekini,Gerald,2011-01-19,Male,Ikorodu,Imo,South East,Private,Shomolu,Day,No,1 hour,Yes,Teacher,Low Income,Doctor,Low,None,Yes,Sometimes,Science,7,Daily,Good,Good,Yes,No,Yes,Strongly Agree,No,High,No,Yes,149,No
Kelechi,Ude,2006-12-10,Female,Shomolu,Rivers,North West,Public,Eti-Osa,Day,No,10 hours,No,Civil Servant,Low Income,Teacher,Low,Drama,Yes,Sometimes,Science,6,Daily,Major Issues,Average,No,No,Yes,Disagree,Yes,Medium,No,No,235,Yes
Ogunbanjo,Bimbo,2006-01-10,Male,Eti-Osa,Edo,North East,Public,Amuwo-Odofin,Day,No,1 hour,Yes,Business,High Income,Lawyer,High,Clubs,Yes,Often,Science,10,Rarely,Good,Poor,No,No,No,Disagree,Yes,Medium,Yes,Yes,318,No
Adebayo,Oluwaseun,2006-12-13,Male,Eti-Osa,Kwara,North East,Private,Surulere,Boarding,Yes,10 hours,Yes,Engineer,High Income,Doctor,High,None,No,Rarely,Science,10,Occasional,Minor Issues,Poor,No,No,Yes,Disagree,No,High,No,No,177,No
Onyeka,Musa,2007-09-24,Female,Oshodi-Isolo,Kwara,North East,Private,Ikeja,Day,Yes,1 hour,No,Farmer,Middle Income,Engineer,High,Music,No,Often,Science,4,Daily,Excellent,Poor,Yes,No,Yes,Disagree,No,Low,No,No,270,Yes
Nwaogwugwu,Zayyanu,2006-10-23,Male,Ifako-Ijaye,Abia,North West,Public,Ojo,Boarding,No,3 hours,No,Medical Professional,Middle Income,Teacher,Low,None,No,Rarely,Science,1,Daily,Minor Issues,Poor,No,Yes,No,Disagree,Yes,Low,No,Yes,196,No
Adebayo,Sani,2008-10-20,Male,Alimosho,Plateau,South South,Private,Mushin,Day,Yes,10 hours,No,Teacher,High Income,Businessperson,Medium,Clubs,Yes,Often,Science,3,Daily,Average,Poor,No,Yes,Yes,Neutral,Yes,High,No,No,313,Yes
Osanyintipin,Esther,2007-11-04,Female,Surulere,Ogun,North West,Public,Epe,Day,No,10 hours,No,Engineer,High Income,Lawyer,Medium,Drama,Yes,Sometimes,Commerce,1,Daily,Good,Poor,No,No,No,Strongly Agree,No,High,No,Yes,246,No
Ishaya,Sunday,2008-04-21,Female,Ibeju-Lekki,Kebbi,South East,Public,Mushin,Boarding,No,5 hours,Yes,Farmer,High Income,Businessperson,Medium,None,Yes,Rarely,Arts,3,Rarely,Excellent,Average,Yes,No,No,Neutral,No,High,Yes,No,259,No
Grace,Femi,2009-12-14,Female,Ikorodu,Katsina,North East,Private,Eti-Osa,Day,Yes,10 hours,No,Medical Professional,Middle Income,Lawyer,High,Sports,No,Rarely,Arts,1,Occasional,Good,Poor,Yes,No,No,Agree,No,Low,No,No,113,Yes
Yahaya,Abdullahi,2010-08-31,Male,Amuwo-Odofin,Ondo,South East,Public,Mushin,Boarding,Yes,3 hours,Yes,Business,Low Income,Teacher,Medium,None,Yes,Sometimes,Commerce,4,Occasional,Average,Poor,Yes,No,Yes,Disagree,Yes,Low,No,No,295,No
Anaba,Joy,2010-02-10,Female,Ikeja,Oyo,North East,Private,Ojo,Day,No,3 hours,No,Civil Servant,Middle Income,Engineer,Low,None,Yes,Rarely,Commerce,1,Occasional,Minor Issues,Poor,Yes,No,Yes,Disagree,Yes,Medium,Yes,No,274,Yes
Mohammed,Zainab,2005-04-25,Female,Alimosho,Taraba,South East,Private,Kosofe,Day,No,5 hours,Yes,Medical Professional,High Income,Scientist,High,Music,Yes,Often,Commerce,5,Occasional,Excellent,Good,No,Yes,Yes,Strongly Agree,Yes,Medium,Yes,No,275,Yes
Egbon,Nneka,2011-06-22,Female,Lagos Mainland,Imo,South West,Public,Ojo,Boarding,Yes,1 hour,No,Civil Servant,Middle Income,Lawyer,High,Clubs,Yes,Often,Commerce,3,Rarely,Minor Issues,Average,No,Yes,No,Agree,No,High,No,Yes,327,Yes
Okorie,Adebayo,2008-03-04,Male,Agege,Imo,South West,Private,Ikeja,Day,Yes,3 hours,Yes,Teacher,Low Income,Teacher,High,Sports,No,Sometimes,Arts,4,Rarely,Minor Issues,Good,Yes,Yes,Yes,Strongly Agree,No,Low,Yes,No,333,No
Ahmad,Maxwell,2005-07-03,Female,Ojo,Enugu,North East,Public,Agege,Day,Yes,32 hours,No,Medical Professional,High Income,Lawyer,Medium,Drama,Yes,Often,Commerce,3,Rarely,Good,Poor,No,Yes,No,Strongly Disagree,No,Low,Yes,No,281,Yes
Ogbozor,Rasaki,2007-11-07,Female,Apapa,Niger,South East,Private,Eti-Osa,Boarding,No,32 hours,No,Civil Servant,Middle Income,Engineer,High,None,Yes,Often,Commerce,3,Occasional,Minor Issues,Poor,Yes,Yes,Yes,Agree,No,Medium,No,Yes,309,No
Udofia,Amadi,2008-05-02,Female,Eti-Osa,Ogun,North West,Private,Shomolu,Boarding,Yes,1 hour,Yes,Medical Professional,Low Income,Lawyer,High,Music,Yes,Often,Commerce,8,Daily,Average,Average,Yes,No,Yes,Strongly Disagree,Yes,High,Yes,Yes,243,No
Nnaemeka,Isma'il,2007-05-24,Male,Epe,Katsina,South South,Public,Oshodi-Isolo,Boarding,No,1 hour,Yes,Medical Professional,Low Income,Scientist,Low,Sports,No,Sometimes,Science,8,Occasional,Minor Issues,Average,No,No,No,Strongly Agree,No,Medium,Yes,Yes,318,No
Oni,Silas,2011-06-23,Female,Amuwo-Odofin,Imo,North West,Private,Epe,Boarding,Yes,5 hours,No,Civil Servant,Low Income,Scientist,Medium,None,Yes,Often,Arts,6,Rarely,Good,Poor,No,No,No,Neutral,No,Medium,Yes,No,203,No
Aminu,Temitayo,2010-08-07,Male,Mushin,Kaduna,North West,Public,Ajeromi-Ifelodun,Day,Yes,5 hours,No,Teacher,Middle Income,Doctor,Medium,Sports,No,Rarely,Arts,3,Occasional,Good,Good,No,Yes,No,Disagree,Yes,Low,No,No,222,No
Ibiam,Lilian,2011-01-02,Female,Ifako-Ijaye,Ogun,South South,Public,Oshodi-Isolo,Boarding,No,10 hours,No,Farmer,Middle Income,Scientist,Low,Clubs,Yes,Rarely,Arts,2,Rarely,Average,Poor,No,No,No,Strongly Disagree,Yes,Low,No,Yes,132,Yes
Omora,Clement,2007-11-11,Male,Agege,Akwa Ibom,South South,Public,Lagos Mainland,Boarding,Yes,32 hours,Yes,Medical Professional,Low Income,Doctor,Medium,Drama,No,Sometimes,Science,4,Rarely,Minor Issues,Average,No,No,Yes,Strongly Agree,No,Low,Yes,Yes,150,No
Grace,Patience,2009-02-28,Male,Mushin,Ebonyi,South East,Private,Ibeju-Lekki,Boarding,No,32 hours,No,Teacher,Middle Income,Teacher,Medium,Clubs,Yes,Rarely,Science,6,Occasional,Good,Average,Yes,No,No,Disagree,Yes,Low,No,No,272,Yes
Jabbi,Gbenga,2008-10-05,Male,Kosofe,Ebonyi,South South,Public,Ajeromi-Ifelodun,Boarding,No,32 hours,Yes,Engineer,Low Income,Teacher,High,Music,No,Rarely,Commerce,4,Daily,Excellent,Average,No,No,No,Strongly Agree,No,Medium,Yes,Yes,338,No
Usman,Maxwell,2005-12-10,Female,Eti-Osa,Ekiti,South West,Public,Apapa,Boarding,No,1 hour,No,Teacher,High Income,Artist,High,Sports,Yes,Often,Arts,1,Rarely,Excellent,Average,No,No,Yes,Strongly Disagree,Yes,Low,No,No,155,No
Bello,Fatima,2009-08-29,Male,Apapa,Rivers,South South,Private,Agege,Boarding,No,3 hours,No,Medical Professional,High Income,Businessperson,Medium,Drama,No,Sometimes,Commerce,3,Occasional,Good,Good,Yes,Yes,No,Strongly Agree,No,Medium,Yes,Yes,118,No
Mmaduako,Ayodele,2010-04-14,Female,Amuwo-Odofin,Abuja,North West,Private,Amuwo-Odofin,Boarding,No,32 hours,Yes,Engineer,Middle Income,Teacher,Low,Clubs,No,Often,Commerce,9,Daily,Good,Good,Yes,Yes,Yes,Agree,No,Low,No,Yes,115,Yes
Etim,Vivian,2007-12-10,Male,Ifako-Ijaye,Lagos,North East,Private,Ikeja,Day,No,5 hours,No,Engineer,High Income,Doctor,Low,Clubs,Yes,Rarely,Commerce,2,Rarely,Excellent,Good,No,No,Yes,Agree,Yes,Medium,No,No,167,No
Bello,Bassey,2005-02-18,Female,Eti-Osa,Bauchi,South West,Public,Lagos Island,Day,Yes,1 hour,No,Civil Servant,Middle Income,Developer,Low,Sports,Yes,Rarely,Commerce,7,Rarely,Major Issues,Good,No,Yes,No,Agree,Yes,Medium,No,No,270,No
Afolayan,Esther,2010-10-07,Female,Surulere,Delta,South South,Private,Surulere,Day,No,3 hours,Yes,Civil Servant,High Income,Scientist,Medium,Music,No,Sometimes,Science,6,Daily,Good,Poor,No,Yes,Yes,Strongly Agree,Yes,Medium,Yes,Yes,167,Yes
Aloye,Oluwaseun,2011-06-17,Female,Amuwo-Odofin,Gombe,South South,Public,Mushin,Day,Yes,32 hours,Yes,Medical Professional,High Income,Artist,High,Sports,No,Often,Arts,1,Daily,Major Issues,Poor,Yes,No,Yes,Strongly Agree,No,Low,No,No,235,No
Mmaduako,Damilola,2004-11-16,Male,Amuwo-Odofin,Kaduna,North East,Private,Surulere,Boarding,No,1 hour,Yes,Business,Low Income,Doctor,Medium,Music,Yes,Often,Science,7,Occasional,Good,Poor,No,No,Yes,Disagree,Yes,Low,No,Yes,131,No
Zarami,Adebayo,2011-08-25,Male,Shomolu,Niger,South East,Public,Ojo,Day,No,32 hours,No,Medical Professional,High Income,Scientist,Medium,Music,Yes,Rarely,Science,5,Rarely,Major Issues,Average,Yes,Yes,No,Disagree,Yes,Low,No,Yes,226,No
Abdulqadir,Tajudeen,2008-08-30,Male,Apapa,Lagos,North West,Public,Epe,Boarding,Yes,1 hour,Yes,Business,Middle Income,Lawyer,Medium,Drama,No,Sometimes,Science,7,Occasional,Good,Poor,Yes,No,No,Strongly Disagree,No,Low,Yes,Yes,273,Yes
Elkanah,Chinonso,2009-06-01,Female,Ikorodu,Kebbi,North East,Public,Shomolu,Day,Yes,32 hours,No,Farmer,High Income,Engineer,High,Sports,Yes,Sometimes,Commerce,4,Rarely,Excellent,Good,No,No,Yes,Disagree,Yes,Medium,No,No,327,No
Igwe,Anzaku,2005-04-11,Female,Surulere,Jigawa,South East,Public,Apapa,Boarding,No,32 hours,No,Engineer,High Income,Businessperson,Low,Drama,No,Often,Commerce,1,Occasional,Average,Good,No,No,Yes,Strongly Agree,Yes,Medium,Yes,No,219,No
Bashar,Anzaku,2006-01-05,Female,Kosofe,Borno,North West,Private,Ifako-Ijaye,Boarding,No,3 hours,No,Medical Professional,Low Income,Teacher,Low,Sports,No,Often,Arts,1,Daily,Good,Average,No,Yes,Yes,Disagree,Yes,High,No,Yes,260,Yes
Ogunyemi,Isiaka,2009-08-30,Female,Lagos Mainland,Taraba,South South,Private,Ikorodu,Boarding,Yes,3 hours,No,Civil Servant,Low Income,Scientist,Low,Sports,Yes,Rarely,Commerce,6,Occasional,Minor Issues,Good,Yes,Yes,No,Disagree,No,Medium,No,No,162,Yes
